guide_id,title,source,batch,priority,cluster,domain,primary_offer,secondary_offer,bundle_role
ch-46,Lone Wolf to Healthy Team Member,Ch46,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
split-01,Blow Up Recovery,Ch02,batch-1,high,reactivity,gap_or_custom,kit,sms,practical_support
split-02,Shut Down Reconnect,Ch02,batch-1,high,relationship,gap_or_custom,guide,kit,conversation_tools
split-03,Overthinking Loop,Ch05,batch-1,high,general,gap_or_custom,kit,sms,practical_support
split-04,Night Spiral Stopper,Ch05,batch-1,high,sleep,gap_or_custom,guide,bundle,regulation_stack
split-05,Hopelessness First Aid,Ch07,batch-1,high,crisis,gap_or_custom,kit,sms,safety_first
split-06,Crisis Conversation Action,Ch07,batch-1,high,crisis,gap_or_custom,kit,sms,safety_first
split-07,Tunnel Vision Reset,Ch10,batch-2,medium,general,nervous_system_mood_cognition,guide,sms,practical_support
split-08,Scattered Brain Reset,Ch10,batch-2,medium,general,nervous_system_mood_cognition,guide,sms,practical_support
split-09,Nightmare Recovery Plan,Ch15,batch-2,medium,sleep,sleep_body_pain_substances,guide,bundle,regulation_stack
split-10,3am Wake Loop Reset,Ch15,batch-2,medium,sleep,sleep_body_pain_substances,guide,bundle,regulation_stack
split-11,Pain Flare Plan,Ch16,batch-2,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
split-12,Tension Release Plan,Ch16,batch-2,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
split-13,TBI Brain Fog Plan,Ch17,batch-2,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
split-14,Headache Functional Plan,Ch17,batch-2,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
split-15,Alcohol Numbing Interrupt,Ch18,batch-2,medium,habit,sleep_body_pain_substances,bundle,sms,ongoing_support
split-16,Pill-Cycle Interrupt Plan,Ch18,batch-2,medium,habit,sleep_body_pain_substances,bundle,sms,ongoing_support
split-17,Secondary Trauma for Partners,Ch25,batch-3,medium,relationship,relationships_family_parenting,guide,kit,conversation_tools
split-18,Secondary Trauma for Teams,Ch25,batch-3,medium,work,relationships_family_parenting,bundle,sms,ongoing_support
split-19,Habit Loop Reset,Ch32,batch-3,medium,habit,intimacy_sex_connection,bundle,sms,ongoing_support
split-20,Shame Loop Repair,Ch32,batch-3,medium,moral,intimacy_sex_connection,guide,kit,conversation_tools
split-21,Shame and Intimacy Repair,Ch40,batch-3,medium,intimacy,moral_injury_guilt_shame_spirituality,guide,kit,conversation_tools
split-22,Disclosure Repair,Ch40,batch-3,medium,intimacy,moral_injury_guilt_shame_spirituality,guide,kit,conversation_tools
split-23,Work Identity Loss Plan,Ch43,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
split-24,Overwhelm Stabilization Plan,Ch43,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
split-25,Money Avoidance Reset,Ch44,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
split-26,Household Chaos Reset,Ch44,batch-3,medium,relationship,work_identity_transition,guide,kit,conversation_tools
split-27,Screen and Scroll Loop Reset,Ch47,batch-3,medium,habit,dopamine_habits_addictions,bundle,sms,ongoing_support
split-28,Compulsion Interrupt Plan,Ch47,batch-3,medium,habit,dopamine_habits_addictions,bundle,sms,ongoing_support
new-01,Panic Attacks in Public: What To Do in 90 Seconds,Gap,batch-1,high,crisis,gap_or_custom,kit,sms,safety_first
new-02,Post-Incident Crash: The Day-After Recovery Guide,Gap,batch-1,high,body,gap_or_custom,guide,bundle,regulation_stack
new-03,Grief After Suicide Loss,Gap,batch-1,high,crisis,gap_or_custom,kit,sms,safety_first
new-04,Survivor Guilt After Calls Scenes Incidents,Gap,batch-1,high,moral,gap_or_custom,guide,kit,conversation_tools
new-05,Court Complaint or Investigation Stress Survival,Gap,batch-1,high,work,gap_or_custom,bundle,sms,ongoing_support
new-06,Shift-Work Relationship Survival Plan,Gap,batch-1,high,relationship,gap_or_custom,guide,kit,conversation_tools
new-07,Co-Parenting Under Burnout and Conflict,Gap,batch-2,medium,relationship,gap_or_custom,guide,kit,conversation_tools
new-08,Returning to Work After Mental Health Leave,Gap,batch-2,medium,work,gap_or_custom,bundle,sms,ongoing_support
new-09,Peer-Support Conversations for Teammates,Gap,batch-2,medium,relationship,gap_or_custom,guide,kit,conversation_tools
new-10,How To Ask for Help Without Feeling Weak,Gap,batch-2,medium,general,gap_or_custom,guide,sms,practical_support
new-11,Building a Personal Safety Network,Gap,batch-2,medium,crisis,gap_or_custom,kit,sms,safety_first
new-12,What To Do When Someone Refuses Help,Gap,batch-2,medium,crisis,gap_or_custom,kit,sms,safety_first
new-13,Digital Overload and Doom-Scroll Recovery,Gap,batch-3,medium,habit,gap_or_custom,bundle,sms,ongoing_support
new-14,Caffeine and Sleep Trap Reset for Frontline Schedules,Gap,batch-3,medium,sleep,gap_or_custom,guide,bundle,regulation_stack
new-15,Eating Patterns Under Stress Reset Guide,Gap,batch-3,medium,habit,gap_or_custom,bundle,sms,ongoing_support
new-16,Boundaries With Family Who Do Not Understand the Job,Gap,batch-3,medium,relationship,gap_or_custom,guide,kit,conversation_tools
new-17,Dating While Carrying Trauma and Hypervigilance,Gap,batch-3,medium,intimacy,gap_or_custom,guide,kit,conversation_tools
new-18,Year-One Transition Guide for Newly Separated or Retired Frontline,Gap,batch-3,medium,work,gap_or_custom,bundle,sms,ongoing_support
